Time,Centre posn X,Centre posn Y,In top,In left,In right,In center
0:00:53.31,292,403,1,0,0,0
0:00:53.43,291,407,1,0,0,0
0:00:53.58,293,405,1,0,0,0
0:00:53.71,294,406,1,0,0,0
0:00:53.81,294,407,1,0,0,0
0:00:53.92,294,408,1,0,0,0
0:00:54.03,294,408,1,0,0,0
0:00:54.14,294,405,1,0,0,0
0:00:54.25,293,407,1,0,0,0
0:00:54.36,293,408,1,0,0,0
0:00:54.46,292,398,1,0,0,0
0:00:54.60,294,393,1,0,0,0
0:00:54.73,295,388,1,0,0,0
0:00:54.86,295,387,1,0,0,0
0:00:54.99,296,384,1,0,0,0
0:00:55.13,296,383,1,0,0,0
0:00:55.23,296,379,1,0,0,0
0:00:55.36,295,376,1,0,0,0
0:00:55.49,295,372,1,0,0,0
0:00:55.63,296,366,1,0,0,0
0:00:55.77,299,342,1,0,0,0
0:00:55.90,302,329,1,0,0,0
0:00:56.04,304,322,1,0,0,0
0:00:56.19,304,323,1,0,0,0
0:00:56.32,302,324,1,0,0,0
0:00:56.43,302,321,1,0,0,0
0:00:56.57,306,295,1,0,0,0
0:00:56.71,306,284,1,0,0,0
0:00:56.85,309,259,1,0,0,0
0:00:56.98,310,248,1,0,0,0
0:00:57.11,312,238,1,0,0,0
0:00:57.25,313,230,1,0,0,0
0:00:57.39,311,233,1,0,0,0
0:00:57.52,311,233,1,0,0,0
0:00:57.62,311,236,1,0,0,0
0:00:57.76,310,238,1,0,0,0
0:00:57.89,310,240,1,0,0,0
0:00:58.03,311,239,1,0,0,0
0:00:58.16,311,239,1,0,0,0
0:00:58.28,315,238,1,0,0,0
0:00:58.42,315,238,1,0,0,0
0:00:58.55,315,237,1,0,0,0
0:00:58.69,316,238,1,0,0,0
0:00:58.83,316,240,1,0,0,0
0:00:58.97,315,242,1,0,0,0
0:00:59.10,315,243,1,0,0,0
0:00:59.25,313,241,1,0,0,0
0:00:59.38,313,242,1,0,0,0
0:00:59.49,312,245,1,0,0,0
0:00:59.63,311,246,1,0,0,0
0:00:59.77,312,240,1,0,0,0
0:00:59.87,312,234,1,0,0,0
0:01:00.00,314,226,1,0,0,0
0:01:00.15,318,211,0,0,0,1
0:01:00.28,318,212,0,0,0,0
